ID,rock_type
TEST_00000,Mud_Sandstone
TEST_00001,Mud_Sandstone
TEST_00002,Mud_Sandstone
TEST_00003,Granite
TEST_00004,Granite
TEST_00005,Granite
TEST_00006,Granite
TEST_00007,Granite
TEST_00008,Granite
TEST_00009,Granite
TEST_00010,Granite
TEST_00011,Granite
TEST_00012,Granite
TEST_00013,Granite
TEST_00014,Weathered_Rock
TEST_00015,Granite
TEST_00016,Granite
TEST_00017,Granite
TEST_00018,Granite
TEST_00019,Gneiss
TEST_00020,Granite
TEST_00021,Granite
TEST_00022,Granite
TEST_00023,Granite
TEST_00024,Granite
TEST_00025,Granite
TEST_00026,Granite
TEST_00027,Granite
TEST_00028,Granite
TEST_00029,Granite
TEST_00030,Granite
TEST_00031,Granite
TEST_00032,Granite
TEST_00033,Granite
TEST_00034,Granite
TEST_00035,Granite
TEST_00036,Granite
TEST_00037,Granite
TEST_00038,Granite
TEST_00039,Granite
TEST_00040,Granite
TEST_00041,Granite
TEST_00042,Andesite
TEST_00043,Granite
TEST_00044,Granite
TEST_00045,Granite
TEST_00046,Granite
TEST_00047,Andesite
TEST_00048,Granite
TEST_00049,Granite
TEST_00050,Granite
TEST_00051,Granite
TEST_00052,Granite
TEST_00053,Granite
TEST_00054,Granite
TEST_00055,Granite
TEST_00056,Granite
TEST_00057,Granite
TEST_00058,Granite
TEST_00059,Granite
TEST_00060,Granite
TEST_00061,Granite
TEST_00062,Granite
TEST_00063,Granite
TEST_00064,Granite
TEST_00065,Granite
TEST_00066,Granite
TEST_00067,Granite
TEST_00068,Granite
TEST_00069,Granite
TEST_00070,Granite
TEST_00071,Granite
TEST_00072,Granite
TEST_00073,Granite
TEST_00074,Granite
TEST_00075,Granite
TEST_00076,Granite
TEST_00077,Granite
TEST_00078,Granite
TEST_00079,Granite
TEST_00080,Granite
TEST_00081,Granite
TEST_00082,Granite
TEST_00083,Granite
TEST_00084,Granite
TEST_00085,Granite
TEST_00086,Granite
TEST_00087,Granite
TEST_00088,Granite
TEST_00089,Granite
TEST_00090,Granite
TEST_00091,Granite
TEST_00092,Granite
TEST_00093,Granite
TEST_00094,Granite
TEST_00095,Granite
TEST_00096,Granite
TEST_00097,Granite
TEST_00098,Granite
TEST_00099,Granite
TEST_00100,Granite
TEST_00101,Granite
TEST_00102,Granite
TEST_00103,Granite
TEST_00104,Granite
TEST_00105,Granite
TEST_00106,Granite
TEST_00107,Granite
TEST_00108,Granite
TEST_00109,Granite
TEST_00110,Granite
TEST_00111,Granite
TEST_00112,Granite
TEST_00113,Granite
TEST_00114,Granite
TEST_00115,Granite
TEST_00116,Granite
TEST_00117,Granite
TEST_00118,Granite
TEST_00119,Granite
TEST_00120,Granite
TEST_00121,Granite
TEST_00122,Granite
TEST_00123,Granite
TEST_00124,Granite
TEST_00125,Granite
TEST_00126,Granite
TEST_00127,Granite
TEST_00128,Granite
TEST_00129,Granite
TEST_00130,Granite
TEST_00131,Granite
TEST_00132,Granite
TEST_00133,Granite
TEST_00134,Granite
TEST_00135,Granite
TEST_00136,Granite
TEST_00137,Granite
TEST_00138,Granite
TEST_00139,Granite
TEST_00140,Granite
TEST_00141,Granite
TEST_00142,Granite
TEST_00143,Granite
TEST_00144,Granite
TEST_00145,Granite
TEST_00146,Granite
TEST_00147,Granite
TEST_00148,Granite
TEST_00149,Granite
TEST_00150,Granite
TEST_00151,Granite
TEST_00152,Granite
TEST_00153,Granite
TEST_00154,Granite
TEST_00155,Granite
TEST_00156,Granite
TEST_00157,Granite
TEST_00158,Granite
TEST_00159,Granite
TEST_00160,Granite
TEST_00161,Granite
TEST_00162,Granite
TEST_00163,Granite
TEST_00164,Granite
TEST_00165,Granite
TEST_00166,Granite
TEST_00167,Granite
TEST_00168,Granite
TEST_00169,Granite
TEST_00170,Granite
TEST_00171,Granite
TEST_00172,Granite
TEST_00173,Granite
TEST_00174,Granite
TEST_00175,Granite
TEST_00176,Granite
TEST_00177,Granite
TEST_00178,Granite
TEST_00179,Mud_Sandstone
TEST_00180,Mud_Sandstone
TEST_00181,Mud_Sandstone
TEST_00182,Andesite
TEST_00183,Mud_Sandstone
TEST_00184,Granite
TEST_00185,Granite
TEST_00186,Granite
TEST_00187,Granite
TEST_00188,Granite
TEST_00189,Granite
TEST_00190,Granite
TEST_00191,Granite
TEST_00192,Granite
TEST_00193,Granite
TEST_00194,Granite
TEST_00195,Granite
TEST_00196,Granite
TEST_00197,Granite
TEST_00198,Granite
TEST_00199,Granite
TEST_00200,Granite
TEST_00201,Granite
TEST_00202,Granite
TEST_00203,Granite
TEST_00204,Granite
TEST_00205,Granite
TEST_00206,Granite
TEST_00207,Granite
TEST_00208,Granite
TEST_00209,Granite
TEST_00210,Granite
TEST_00211,Granite
TEST_00212,Granite
TEST_00213,Granite
TEST_00214,Granite
TEST_00215,Granite
TEST_00216,Granite
TEST_00217,Granite
TEST_00218,Granite
TEST_00219,Granite
TEST_00220,Granite
TEST_00221,Granite
TEST_00222,Granite
TEST_00223,Granite
TEST_00224,Granite
TEST_00225,Granite
TEST_00226,Granite
TEST_00227,Granite
TEST_00228,Granite
TEST_00229,Granite
TEST_00230,Granite
TEST_00231,Granite
TEST_00232,Granite
TEST_00233,Granite
TEST_00234,Granite
TEST_00235,Granite
TEST_00236,Granite
TEST_00237,Granite
TEST_00238,Granite
TEST_00239,Granite
TEST_00240,Granite
TEST_00241,Granite
TEST_00242,Granite
TEST_00243,Granite
TEST_00244,Granite
TEST_00245,Granite
TEST_00246,Granite
TEST_00247,Etc
TEST_00248,Granite
TEST_00249,Granite
TEST_00250,Granite
TEST_00251,Granite
TEST_00252,Granite
TEST_00253,Granite
TEST_00254,Granite
TEST_00255,Granite
